videoId,channelTitle,title,description,denialism,conspiracy,URL
-N825TxWaiY,greenactionjapan,No1.脱温暖化社会-G8に向けて日本は何をするべきか-,"脱温暖化社会G8に向けて日本は何をするべきか？

講演：鮎川ゆりか（WWFジャパン　気候変動特別顧問）

主催：グリーン・アクション

後援：気候ネットワーク

2008年4月26日（土）京都府総合福祉会館ハートピア京都



地球の温暖化は深刻な問題です。

これからの5−10年間に緊急の行動が必要であることが示されています。

しかし、日本の温暖化効果ガスの排出量は減少しておらず、依然として上昇している。

こういう状況の中、はたして今年の夏に開かれるG8に向けて日本はリーダーシップを取れるのであろうか？

鮎川ゆりかさんが、緊急に迫る問題点と日本の果たすべき役割についてお話しています。



講演資料は、グリーン・アクションホームページで公開しています。

http://www.greenaction-japan.org/",0.0,0.0,https://www.youtube.com/watch?v=-N825TxWaiY
-m5Nk8mWtlc,FoEJapan,フォーラム１：part3「バイオ燃料は気候変動対策か？」,5月21、22日、東京・JICA地球ひろばにおいて行われた、国際環境NGO FoE Japan、地球・人間環境フォーラム、NPO法人バイオマス産業社会ネットワーク主催の「G8環境大臣会合に向けた国際市民フォーラム〜バイオ燃料・森林減少防止は気候変動対策となるか？〜先進国の役割と責任」からの抜粋とそれに関する緊急提言,0.0,0.0,https://www.youtube.com/watch?v=-m5Nk8mWtlc
0z0zor4re9M,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part8-2　米国 ＣＡ ハリウッド,『SOS 気候変動国際会議Part8-2　2008年7月26日(土)　　米国 ＣＡ ハリウッド』,0.0,0.0,https://www.youtube.com/watch?v=0z0zor4re9M
17BjJvTwbyw,-BERSERK HAWKWIND,人類ではなく自然が気候を支配する（1/2）－フレッド・シンガー,『地球温暖化は止まらない』の著者の一人であり、『地球温暖化詐欺』にも出演したフレッド・シンガー博士が、２００８年３月、米ニューヨークのＮＩＰＣＣ（気候変動に関する非政府間の国際間パネル）にて行ったプレゼンテーションです。ＣＯ２による温室効果ガス・人為説を完全論破しています。,1.0,0.0,https://www.youtube.com/watch?v=17BjJvTwbyw
1JUtUgyntxI,kodanshamoura,Mopix小池百合子元環境大臣インタビュー,"http://mopix.moura.jp/?p=541

グリーンウィーク代表小池百合子元環境大臣にインタビュー。",0.0,0.0,https://www.youtube.com/watch?v=1JUtUgyntxI
1LpTKOvYhTQ,greenactionjapan,No7.脱温暖化社会-G8に向けて日本は何をするべきか-,"脱温暖化社会G8に向けて日本は何をするべきか？

講演：鮎川ゆりか（WWFジャパン　気候変動特別顧問）

主催：グリーン・アクション

後援：気候ネットワーク

2008年4月26日（土）京都府総合福祉会館ハートピア京都



地球の温暖化は深刻な問題です。

これからの5−10年間に緊急の行動が必要であることが示されています。

しかし、日本の温暖化効果ガスの排出量は減少しておらず、依然として上昇している。

こういう状況の中、はたして今年の夏に開かれるG8に向けて日本はリーダーシップを取れるのであろうか？

鮎川ゆりかさんが、緊急に迫る問題点と日本の果たすべき役割についてお話しています。



講演資料は、グリーン・アクションホームページで公開しています。

http://www.greenaction-japan.org/",0.0,0.0,https://www.youtube.com/watch?v=1LpTKOvYhTQ
22IjztBqGbc,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part8-5 米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part8-5 　2008年7月26日(土)　

米国 ＣＡ ハリウッド』",0.0,0.0,https://www.youtube.com/watch?v=22IjztBqGbc
2FBgKQXWesc,-BERSERK HAWKWIND,地球温暖化詐欺アメリカ版（ＣＮＮ）／正体暴露－脅迫の気候（１／７）,"２００７年５月２日、月米ＣＮＮのゴールデン・タイム・キャスター、グレン・ベックによる地球温暖化の欺瞞を暴くスペシャル番組が行われました。



地球温暖化問題の疑惑を暴露するドキュメンタリーとして、最近ではイギリスＢＢＣによる地球温暖化詐欺＝The Great Global Warming Swindleが話題になりましたが、実は米でも直後に同様の報道がなされていました。



日本との報道事情のギャップをご体感ください。



この１番目のクリップでは、実は京都議定書にはジョージ・ブッシュだけでなく、アル・ゴアでさえも批准しなかった理由や、そのこの協定自体の無意味さが説明されています。



＊補足：2:47で『京都の事で怒っている』と訳していますが、『この人たちは、純粋な怒り、以外の理由があるのでは？』と解釈するのがよりしっくり来ます（2009/9/21）。",1.0,1.0,https://www.youtube.com/watch?v=2FBgKQXWesc
4-YLpC7wzx4,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part 2-4米 国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part 2-4　2008年7月26日(土)　米国 ＣＡ ハリウッド』2008/8/19放送

米国畜産業の実態を暴いたマッドカウボーイことハワードライマン氏の興味深いスピーチ",0.0,0.0,https://www.youtube.com/watch?v=4-YLpC7wzx4
4Co6wtEEmdE,-BERSERK HAWKWIND,スベンスマルク-雲の神秘（2/5）-地球温暖化の真犯人は雲、宇宙線、太陽,"気候変動、地球温暖化の主因は二酸化炭素ＣＯ２ではありません。気候変動の新理論＝宇宙気候学を発足させた、デンマークの宇宙物理学者ヘンリク・スベンスマーク氏らのドキュメンタリーです。スベンスマーク氏が宇宙線と雲の関係を提唱しはじめた１９

９０年代後半から、その軌跡を追った内容となっています。このクリップ2/5以降より、地球温暖化詐欺にも出演したニアー・シャヴィーヴ教授も登場します。



＊この『雲の神秘』では、その制作にあたりデンマーク科学省からの費用の提供も受けています。",1.0,0.6,https://www.youtube.com/watch?v=4Co6wtEEmdE
58ybuWmhfys,greenactionjapan,No8.脱温暖化社会-G8に向けて日本は何をするべきか-,"脱温暖化社会G8に向けて日本は何をするべきか？

講演：鮎川ゆりか（WWFジャパン　気候変動特別顧問）

主催：グリーン・アクション

後援：気候ネットワーク

2008年4月26日（土）京都府総合福祉会館ハートピア京都



地球の温暖化は深刻な問題です。

これからの5−10年間に緊急の行動が必要であることが示されています。

しかし、日本の温暖化効果ガスの排出量は減少しておらず、依然として上昇している。

こういう状況の中、はたして今年の夏に開かれるG8に向けて日本はリーダーシップを取れるのであろうか？

鮎川ゆりかさんが、緊急に迫る問題点と日本の果たすべき役割についてお話しています。



講演資料は、グリーン・アクションホームページで公開しています。

http://www.greenaction-japan.org/",0.0,0.0,https://www.youtube.com/watch?v=58ybuWmhfys
5UHikwffbOw,TOTETUMONAInippon,麻生太郎　2009年5月24日　地球温暖化懇談会,,0.0,0.0,https://www.youtube.com/watch?v=5UHikwffbOw
5yI8R_L7_TM,CrossoverWonderful,不都合な真実 trailer,映画「不都合な真実」（An Inconveninet Truth）,0.0,0.0,https://www.youtube.com/watch?v=5yI8R_L7_TM
6RsMJJEQoD0,-BERSERK HAWKWIND,スベンスマルク-雲の神秘（1/5）-地球温暖化の真犯人は雲、宇宙線、太陽,"気候変動、地球温暖化の主因は二酸化炭素ＣＯ２ではありません。気候変動の新理論＝宇宙気候学を発足させた、デンマークの宇宙物理学者ヘンリク・スベンスマーク氏らのドキュメンタリーです。スベンスマーク氏が宇宙線と雲の関係を提唱しはじめた１９９０年代後半から、その軌跡を追った内容となっています。

（アップロード後補足：誤字がありましたがご容赦ください）



＊この『雲の神秘』ではデンマーク科学省から制作費用の提供も受けています。



＊エビデンス解説と宇宙線説への反論に対する反証＝宇宙線説を確信させる強力なエビデンス　http://www.mission-k.net/globalwarming/cosmicray/cosmicray.html",1.0,0.0,https://www.youtube.com/watch?v=6RsMJJEQoD0
7sRhN2p2EV0,greenactionjapan,No6.脱温暖化社会-G8に向けて日本は何をするべきか-,"脱温暖化社会G8に向けて日本は何をするべきか？

講演：鮎川ゆりか（WWFジャパン　気候変動特別顧問）

主催：グリーン・アクション

後援：気候ネットワーク

2008年4月26日（土）京都府総合福祉会館ハートピア京都



地球の温暖化は深刻な問題です。

これからの5−10年間に緊急の行動が必要であることが示されています。

しかし、日本の温暖化効果ガスの排出量は減少しておらず、依然として上昇している。

こういう状況の中、はたして今年の夏に開かれるG8に向けて日本はリーダーシップを取れるのであろうか？

鮎川ゆりかさんが、緊急に迫る問題点と日本の果たすべき役割についてお話しています。



講演資料は、グリーン・アクションホームページで公開しています。

http://www.greenaction-japan.org/",0.0,0.0,https://www.youtube.com/watch?v=7sRhN2p2EV0
81cqTajeM7c,greentvjapan,夏至 動けば変わる キャンドルナイト,京都議定書議長国である日本の温暖化防止のための草の根による取り組みを紹介します。,0.0,0.0,https://www.youtube.com/watch?v=81cqTajeM7c
8OzaMJfRdOM,-BERSERK HAWKWIND,NASA最高責任者は温暖化問題への疑問を公言：マイケル・グリフィン氏,２００７年の初旬に報道された一件です。ＮＡＳＡで公言しているのは、グリフィン氏だけではありません。,1.0,0.0,https://www.youtube.com/watch?v=8OzaMJfRdOM
9Lc7Dq8sjqI,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part5-1米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part5-1　2008年7月26日(土)　

米国 ＣＡ ハリウッド』2008/8/23放送",0.0,0.0,https://www.youtube.com/watch?v=9Lc7Dq8sjqI
9itRxosltKY,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part7-4米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part7-4 　2008年7月26日(土)　

米国 ＣＡ ハリウッド』2008/8/26放送",0.0,0.0,https://www.youtube.com/watch?v=9itRxosltKY
AJg2GZ1yWs0,winasucan,5個方法地—球(1),全球暖化,0.0,0.0,https://www.youtube.com/watch?v=AJg2GZ1yWs0
COVI988LrYo,スプリームマスターテレビジョン・ジャパン 旧,IPPCのラジェンドラ・パチャウリ議長が語る気候変動　CLIMATE CHANAGE OPTION6,"IPPCのラジェンドラ・パチャウリ議長が語る気候変動　CLIMATE CHANAGE OPTION6



更なる情報はこちらにアクセスwww.SupremeMasterTV.com",0.0,0.0,https://www.youtube.com/watch?v=COVI988LrYo
Ckte7ECgD2Y,FoEJapan,フォーラム１：part2「バイオ燃料は気候変動対策か？」,5月21、22日、東京・JICA地球ひろばにおいて行われた、国際環境NGO FoE Japan、地球・人間環境フォーラム、NPO法人バイオマス産業社会ネットワーク主催の「G8環境大臣会合に向けた国際市民フォーラム〜バイオ燃料・森林減少防止は気候変動対策となるか？〜先進国の役割と責任」からの抜粋とそれに関する緊急提言,0.0,0.0,https://www.youtube.com/watch?v=Ckte7ECgD2Y
CovrQKXLpeo,democracynowjp,エイモリー・ロビンズ　原子力は気候変動を悪化させる,"気候変動や石油供給の不安で、原子力がクリーンな代替エネルギーとしてさかんに持ち上げられています。原子力は本当に救世主になるのでしょうか？「西側で最も影響力のあるエネルギー問題の思索家」エイモリー・ロビンズに聞きました。



全部を見るにはこちらのサイトへ　→　http://democracynow.jp/submov/20080716-2",1.0,0.0,https://www.youtube.com/watch?v=CovrQKXLpeo
DsU4XE01r0w,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動,もはや私たちには時間がありません。決断の時です。皆さんが賢い選択をしてくださるという自信があります。私たちが抱える気候の危機は地球の緊急事態ある。自然界と調和して生きることが将来のための唯一の方法で、９０億もの人の一つの惑星を建て直すたった一度のチャンスである。ベジになって、エコライフを、そして私たちの地球を救おう。,0.0,0.0,https://www.youtube.com/watch?v=DsU4XE01r0w
ELAazRtQiNk,FoEJapan,フォーラム２：part1「森林減少による炭素排出と気候変動」,5月21、22日、東京・JICA地球ひろばにおいて行われた、国際環境NGO FoE Japan、地球・人間環境フォーラム、NPO法人バイオマス産業社会ネットワーク主催の「G8環境大臣会合に向けた国際市民フォーラム〜バイオ燃料・森林減少防止は気候変動対策となるか？〜先進国の役割と責任」からの抜粋とそれに関する緊急提言,0.0,0.0,https://www.youtube.com/watch?v=ELAazRtQiNk
FAGevJlQ6rw,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part3-4米国ＣＡハリウッド,"『SOS 気候変動国際会議Part33-4 2008年7月26日(土)　米国 ＣＡ ハリウッド』2008/8/20放送

私達が直面している地球温暖化の危機について、ジム・スチュワート博士が語っています。",0.0,0.0,https://www.youtube.com/watch?v=FAGevJlQ6rw
FNlLfjz1nQs,-BERSERK HAWKWIND,スベンスマルク-雲の神秘（3/5）-地球温暖化の真犯人は雲、宇宙線、太陽,"気候変動、地球温暖化の主因は二酸化炭素ＣＯ２ではありません。気候変動の新理論＝宇宙気候学を発足させた、デンマークの宇宙物理学者ヘンリク・スベンスマーク氏らのドキュメンタリーです。スベンスマーク氏が宇宙線と雲の関係を提唱しはじめた１９９０年代後半から、その軌跡を追った内容となっています。この3/5ではイギリス気象庁の元トップ、ジョン・メイソン氏との雲についての議論について、その一幕を見る事ができます。



＊この『雲の神秘』では、その制作にあたりデンマーク科学省からの費用の提供も受けています。",1.0,0.0,https://www.youtube.com/watch?v=FNlLfjz1nQs
GCU6ajwlxoM,englishtown,オンライン英会話：「Climate Change」（中級）Englishtown,地球温暖化の原因と影響について,0.0,0.0,https://www.youtube.com/watch?v=GCU6ajwlxoM
GvkoFup5GPM,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part3-1米国ＣＡハリウッド,"『SOS 気候変動国際会議Part3-1 2008年7月26日(土)　米国 ＣＡ ハリウッド』2008/8/20放送

共同司会者は、エミー賞受賞のTVジャーナリストでビーガンのJVミッチェルさん。

カナダ・トロントの緑会計士であるダりルカンバーバック氏の「肉に警告ラベルを貼るべきかどうか」という質問に対し、ハワード・ライマン氏が答えます。",0.0,0.0,https://www.youtube.com/watch?v=GvkoFup5GPM
HA2US-ImIgc,greenactionjapan,No3.脱温暖化社会-G8に向けて日本は何をするべきか-,"脱温暖化社会G8に向けて日本は何をするべきか？

講演：鮎川ゆりか（WWFジャパン　気候変動特別顧問）

主催：グリーン・アクション

後援：気候ネットワーク

2008年4月26日（土）京都府総合福祉会館ハートピア京都



地球の温暖化は深刻な問題です。

これからの5−10年間に緊急の行動が必要であることが示されています。

しかし、日本の温暖化効果ガスの排出量は減少しておらず、依然として上昇している。

こういう状況の中、はたして今年の夏に開かれるG8に向けて日本はリーダーシップを取れるのであろうか？

鮎川ゆりかさんが、緊急に迫る問題点と日本の果たすべき役割についてお話しています。



講演資料は、グリーン・アクションホームページで公開しています。

http://www.greenaction-japan.org/",0.0,0.0,https://www.youtube.com/watch?v=HA2US-ImIgc
HWtaMnyXMa4,tibitotoratarou,20081221nextyear 0001,"温暖化問題。　これが～～地球が破滅するかどうかの大問題！！

アメリカは２００９年には～～ブシュさんからオバマさんの政権に・・・

で・温暖化問題は？？　　朝のニュースを見てる。　チビと亀",0.0,0.0,https://www.youtube.com/watch?v=HWtaMnyXMa4
I9AYwU4lE2c,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part5-4　米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part5-4 　2008年7月26日(土)　

米国 ＣＡ ハリウッド』2008/8/23放送",0.0,0.0,https://www.youtube.com/watch?v=I9AYwU4lE2c
IydF_8S3pmY,10000words,Climate Study Calls for Alternative Technologies,"VOA（Voice of America）のニュースを素材にして、英語学習用に字幕をつけたものです。字幕のon off 機能がついた動画や解説を見たい方は

http://www.10000words.com/

でどうぞ。

This is for someone who is learning English.",0.0,0.0,https://www.youtube.com/watch?v=IydF_8S3pmY
L5nLqP1oh38,-BERSERK HAWKWIND,歴史上最大の詐欺－地球温暖化・気候変動－ジョン・コールマン,Weather Channel(邦訳すればお天気専門チャンネル)のアイデアを考え、テレビにも出演している気象学者が地球温暖化について人工的に創作された危機、史上最大のインチキだと語っています,1.0,0.8,https://www.youtube.com/watch?v=L5nLqP1oh38
LjDkxeKGkIw,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part5-3　米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part5-3 　2008年7月26日(土)　

米国 ＣＡ ハリウッド』2008/8/23放送



更なる情報はこちらにアクセスwww.SupremeMasterTV.com",0.0,0.0,https://www.youtube.com/watch?v=LjDkxeKGkIw
LjhNxAnSfzw,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part7-3米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part7-3 　2008年7月26日(土)　

米国 ＣＡ ハリウッド』2008/8/26放送",0.0,0.0,https://www.youtube.com/watch?v=LjhNxAnSfzw
LrlnDm6fF1o,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part5-2　米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part5-2 　2008年7月26日(土)

　米国 ＣＡ ハリウッド』2008/8/23放送",0.0,0.0,https://www.youtube.com/watch?v=LrlnDm6fF1o
N5ENupF8mbY,4936mon,アイヌ(人間)の天地　北海道から見つめる地球環境 1,北見工業大学　北見市　北海道,0.0,0.0,https://www.youtube.com/watch?v=N5ENupF8mbY
NXfHOww9YkM,スプリームマスターテレビジョン・ジャパン 旧,ラジェンドラパチャウリ博士による講演　パート2-2,ラジェンドラパチャウリ博士による講演　パート2-2地球温暖化 食肉生産と消費が気候変動に及ぼす影響と題する講演が著名なラジェンドラパチャウリ博士により行われました aw958-1,0.0,0.0,https://www.youtube.com/watch?v=NXfHOww9YkM
OaWOaS1Nsik,-BERSERK HAWKWIND,人類ではなく自然が気候を支配する（2/2）－フレッド・シンガー,『地球温暖化は止まらない』の著者の一人であり、『地球温暖化詐欺』にも出演したフレッド・シンガー博士が、２００８年３月、米ニューヨークのＮＩＰＣＣ（気候変動に関する非政府間の国際間パネル）にて行ったプレゼンテーションです。ＣＯ２による温室効果ガス・人為説を完全論破しています。更に過去のグリーンピースの欺瞞の暴露や海面上昇の現実を説明、更にＣＯ２脅威説から誘導された無意味な炭素取引やその他の政策を喝破しています。,1.0,0.6,https://www.youtube.com/watch?v=OaWOaS1Nsik
QG9NlwgrC1E,和歌浦走友会,デンマーク大使の挨拶　２００９０５３１,"COP１５　ｻｲｸﾘﾝｸﾞ　ツアー　ｉｎ　和歌山において　和歌浦走友会もボランティアに参加をさせてもらいました

2009年、気候変動に関する国際連合枠組み条約における、

第15回締約国会議(COP15)がデンマ－クの首都コペンハ－ゲンで開催されます。

和歌山県においてもサイクリングを通して、

世界に向けて県下における様々なエコ(環境)アピ－ルを発信いたします。",0.0,0.0,https://www.youtube.com/watch?v=QG9NlwgrC1E
QiYsPLnV438,kounokouno,ワールドエンド,"2075年、全世界同時壊滅。地球崩壊のシナリオをリアルに描く、圧巻のディザスター・ドラマ！！ノーベル平和賞を受賞した国連組織、IPCC（気候変動に関する政府間パネル）の予測データに基づく物語はリアリティ満点！

大洪水、ハリケーン、イナゴの異常発生、砂漠化、上昇し続ける気温。地球温暖化に端を発したあらゆるディザスターが全世界を覆い尽くす！！",0.0,0.0,https://www.youtube.com/watch?v=QiYsPLnV438
RVyfVK03vf4,FoEJapan,フォーラム１：part1「バイオ燃料は気候変動対策か？」,5月21、22日、東京・JICA地球ひろばにおいて行われた、国際環境NGO FoE Japan、地球・人間環境フォーラム、NPO法人バイオマス産業社会ネットワーク主催の「G8環境大臣会合に向けた国際市民フォーラム〜バイオ燃料・森林減少防止は気候変動対策となるか？〜先進国の役割と責任」からの抜粋とそれに関する緊急提言,0.0,0.0,https://www.youtube.com/watch?v=RVyfVK03vf4
RazHBtgD0aM,WEBマーケティングブログ,地球温暖化のシミュレーションデータをグーグルアースで見る,"グーグルアースで見る気候変動シミュレーションデータをご紹介。



More info↓

http://web-marketing.zako.org/google/google-earth/climate-change-data-for-google-earth.html",0.0,0.0,https://www.youtube.com/watch?v=RazHBtgD0aM
Sen-7Yi5udU,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part6-5 米国 ＣＡ ハリウッド,『SOS 気候変動国際会議Part6-5 　2008年7月26日(土)　米国 ＣＡ ハリウッド』2008/8/24放送  　肉食に関する病気、肉直の代価の一例をご覧下さい。,0.0,0.0,https://www.youtube.com/watch?v=Sen-7Yi5udU
ShReLbfNdcM,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part7-1米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part7-1 　2008年7月26日(土)　

米国 ＣＡ ハリウッド』2008/8/26放送",0.0,0.0,https://www.youtube.com/watch?v=ShReLbfNdcM
TKFL68bFavk,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part7-2 米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part7-2 　2008年7月26日(土)

　米国 ＣＡ ハリウッド』2008/8/26放送",0.0,0.0,https://www.youtube.com/watch?v=TKFL68bFavk
Tdn0AwK44c8,FoEJapan,フォーラム２：part3「森林減少による炭素排出と気候変動」,5月21、22日、東京・JICA地球ひろばにおいて行われた、国際環境NGO FoE Japan、地球・人間環境フォーラム、NPO法人バイオマス産業社会ネットワーク主催の「G8環境大臣会合に向けた国際市民フォーラム〜バイオ燃料・森林減少防止は気候変動対策となるか？〜先進国の役割と責任」からの抜粋とそれに関する緊急提言,0.0,0.0,https://www.youtube.com/watch?v=Tdn0AwK44c8
Tuv4l365Z4w,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part2-1 米国ＣＡハリウッド,『SOS 気候変動国際会議Part 2-1　2008年7月26日(土)　米国 ＣＡ ハリウッド』2008/8/19放送,0.0,0.0,https://www.youtube.com/watch?v=Tuv4l365Z4w
U-IacYARcvI,TOKYO MX,コンビニで地球温暖化防止に参加　ポイント・現金でＣＯ２削減,,0.0,0.0,https://www.youtube.com/watch?v=U-IacYARcvI
U5kIfghOjnk,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part 2-3米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part 2-3　2008年7月26日(土)　米国 ＣＡ ハリウッド』2008/8/19放送

米国畜産業の実態を暴いたマッドカウボーイことハワードライマン氏の興味深いスピーチ",0.0,0.0,https://www.youtube.com/watch?v=U5kIfghOjnk
V3oAcdpLI2s,winasucan,5個方法救地球(3),全球暖化,0.0,0.0,https://www.youtube.com/watch?v=V3oAcdpLI2s
